What is the AWS root user, and what best practice should be followed regarding its use?	<p>The AWS root user is the email account associated with the AWS account and has full access. Best practice: Use the root user only to create an admin IAM user, then use IAM users for all operations.</p>
What is the principle of least privilege in AWS IAM?	<p>The principle of least privilege means granting only the minimum permissions necessary for a user, role, or service to perform its tasks.</p>
What are the main components of AWS IAM?	<ul> <li>Users: Individuals or applications needing access</li> <li>Groups: Collections of users with shared permissions</li> <li>Roles: Temporary access for AWS services or external users</li> <li>Policies: Documents defining access rules</li> </ul>
Is AWS IAM a regional or global service?	<p>AWS IAM is a global service and does not depend on any specific region.</p>
How many access keys can an IAM user have at a time?	<p>Each IAM user can have up to two access keys (active or inactive).</p>
What are the three AWS networking zones?	<ul> <li>Public Internet</li> <li>VPC AWS (private)</li> <li>AWS Public Zone (not on the internet but accessible from it, e.g., S3)</li> </ul>
What is an AWS Edge Location?	<p>An AWS Edge Location is a smaller facility for caching content closer to users, commonly used in CloudFront for content delivery.</p>
What are AWS Availability Zones (AZs) used for?	<p>AZs provide isolated infrastructure within a region to ensure local fault tolerance.</p>
What are the three levels of AWS resilience?	<ul> <li>Global resilience (e.g., IAM, Route 53)</li> <li>Regional resilience (services operating in a single region but with cross-region replication)</li> <li>AZ resilience (resilience to single AZ failures)</li> </ul>
What is the difference between an ARN with and without '/*' at the end?	<p>'/<em>' refers to objects within a resource, while without '/</em>' refers to the resource itself.</p>
What is Software Virtualization in AWS?	<p>A hypervisor runs on a host OS and emulates hardware for the guest OS, translating system calls (binary translation). This method is slow.</p>
What is Para-Virtualization in AWS?	<p>The guest OS is modified to use hypercalls instead of system calls, improving performance but requiring OS support.</p>
What is Hardware-Assisted Virtualization?	<p>The CPU supports virtualization natively (Intel VT-x, AMD-V), redirecting system calls to the hypervisor for faster execution.</p>
What is SR-IOV (Single Root I/O Virtualization) used for?	<p>SR-IOV is used for networking and hardware acceleration by bypassing the hypervisor to improve network performance.</p>
What is the AWS Shared Responsibility Model?	<p>AWS is responsible for 'security OF the cloud' (infrastructure, software), while customers are responsible for 'security IN the cloud' (configurations, data, access).</p>
What is the difference between High Availability (HA), Fault Tolerance (FT), and Disaster Recovery (DR)?	<ul> <li>HA: Ensures minimal downtime (e.g., server switch requiring re-authentication)</li> <li>FT: Continuous operation despite failures (e.g., aircraft systems)</li> <li>DR: Plans to recover infrastructure after a disaster</li> </ul>
How does AWS provide global-level availability?	<p>AWS uses Route 53 for DNS traffic distribution and CloudFront as a Content Delivery Network (CDN) to cache content close to users.</p>
What are the key components of a regional AWS architecture?	<ul> <li>Web Tier: Load balancers, API Gateway</li> <li>Compute Tier: Containers, Lambda functions</li> <li>Storage/Cache Tier: Stores frequently accessed data</li> <li>Database Tier: Manages persistent data</li> </ul>
What is an IAM Policy?	<p>An IAM Policy is a JSON document that grants or denies access to AWS services. It consists of statements defining actions, resources, and effects.</p>
What are the main components of an IAM Policy statement?	<ul> <li><code>sid</code>: Optional identifier for readability</li> <li><code>actions</code>: Service operations (e.g., <code>s3:ListBucket</code>)</li> <li><code>resources</code>: The AWS resources the policy applies to</li> <li><code>effect</code>: <code>Allow</code> or <code>Deny</code></li> </ul>
What is the IAM policy evaluation order?	<ol> <li><strong>Explicit Deny</strong> (overrides everything)</li> <li><strong>Explicit Allow</strong></li> <li><strong>Default Deny</strong> (implicit denial if no rule matches)</li> </ol>
What are the two types of IAM Policies?	<ul> <li><strong>Inline Policies</strong>: Attached directly to users, groups, or roles (harder to manage)</li> <li><strong>Managed Policies</strong>: Standalone policies that can be attached to multiple users, groups, or roles (recommended)</li> </ul>
What are the IAM authentication methods?	<ul> <li>Username and password (for AWS console access)</li> <li>Access keys (for programmatic access)</li> </ul>
What are IAM Groups?	<p>IAM Groups are logical collections of users that share common permissions. They help simplify permission management but cannot be referenced as principals in policies.</p>
What are the key limitations of IAM Groups?	<ul> <li>A user can belong to a maximum of 10 groups</li> <li>AWS allows up to 300 groups per account (can be increased via a support ticket)</li> <li>Groups cannot be referenced as principals in resource policies</li> <li>Groups cannot be nested</li> </ul>
